#parameter  channel value
 adcGain  0  0.769067
 adcGain  1  0.815393
 adcGain  2  0.778966
 adcGain  3  0.763839
 adcGain  4  0.749878
 adcGain  5  0.725942
 adcGain  6  0.771256
 adcGain  7  1.000000
 adcGain  8  0.730314
 adcGain  9  0.733310
 adcGain 10  0.722102
 adcGain 11  0.722314
 adcGain 12  0.688506
 adcGain 13  0.782101
 adcGain 14  0.754124
 adcGain 15  0.710712
 adcGain 16  0.744154
 adcGain 17  0.763527
 adcGain 18  0.737044
 adcGain 19  0.761804
 adcGain 20  0.732001
 adcGain 21  0.699268
 adcGain 22  0.750895
 adcGain 23  0.831846
 adcGain 24  0.760317
 adcGain 25  0.754562
 adcGain 26  0.724575
 adcGain 27  0.719418
 adcGain 28  0.710993
 adcGain 29  0.716936
 adcGain 30  0.793174
 adcGain 31  0.730657
 adcGain 32  0.742028
 adcGain 33  0.711816
 adcGain 34  0.723521
 adcGain 35  0.695854
 adcGain 36  0.692945
 adcGain 37  0.692919
 adcGain 38  0.702816
 adcGain 39  0.717662
 adcGain 40  0.683103
 adcGain 41  0.718937
 adcGain 42  0.756981
 adcGain 43  0.698975
 adcGain 44  0.730828
 adcGain 45  0.736261
 adcGain 46  0.715575
 adcGain 47  0.833210
 adcGain 48  0.721856
 adcGain 49  0.716902
 adcGain 50  0.768782
 adcGain 51  0.711518
 adcGain 52  0.753777
 adcGain 53  0.703943
 adcGain 54  0.719435
 adcGain 55  0.697239
 adcGain 56  0.756730
 adcGain 57  0.721361
 adcGain 58  0.7
 adcGain 59  0.722537
 adcGain 60  0.702779
 adcGain 61  0.704176
 adcGain 62  0.690958
 adcGain 63  0.699106
 adcGain 65  1.0

 adcOffset  0   20.28
 adcOffset  1   18.35
 adcOffset  2   18.73
 adcOffset  3   18.96
 adcOffset  4   17.17
 adcOffset  5   15.06
 adcOffset  6   15.73
 adcOffset  7   15.03
 adcOffset  8  -38.23
 adcOffset  9  -38.00
 adcOffset 10  -38.79
 adcOffset 11  -38.41
 adcOffset 12  -37.97
 adcOffset 13  -37.46
 adcOffset 14  -35.81
 adcOffset 15  -38.54
 adcOffset 16  -38.42
 adcOffset 17  -39.54
 adcOffset 18  -36.54
 adcOffset 19  -50.31
 adcOffset 20  -38.28
 adcOffset 21  -42.07
 adcOffset 22  -38.14
 adcOffset 23  -43.97
 adcOffset 24   -6.71
 adcOffset 25  -10.09
 adcOffset 26  -13.37
 adcOffset 27  -12.62
 adcOffset 28  -12.02
 adcOffset 29  -16.12
 adcOffset 30  -16.77
 adcOffset 31  -13.63
 adcOffset 32   11.98
 adcOffset 33   12.50
 adcOffset 34    6.75
 adcOffset 35    7.37
 adcOffset 36    4.73
 adcOffset 37    5.68
 adcOffset 38    6.68
 adcOffset 39    4.20
 adcOffset 40  -49.71
 adcOffset 41  -47.49
 adcOffset 42  -50.13
 adcOffset 43  -46.63
 adcOffset 44  -45.33
 adcOffset 45  -46.89
 adcOffset 46  -48.60
 adcOffset 47  -56.13
 adcOffset 48  -48.23
 adcOffset 49  -49.18
 adcOffset 50  -51.17
 adcOffset 51  -51.05
 adcOffset 52  -53.38
 adcOffset 53  -52.19
 adcOffset 54  -60.59
 adcOffset 55  -60.96
 adcOffset 56  -59.54
 adcOffset 57  -60.12
 adcOffset 58  -60.00
 adcOffset 59  -67.01
 adcOffset 60  -60.39
 adcOffset 61  -61.75
 adcOffset 62  -62.15
 adcOffset 63  -57.38
 adcOffset 65  0.0
